Injongo,njongo
ye-website,ye-website
yaseMzantsi,Mzantsi
Afrika,Afrika
kukuvelisa,vela
umthombo,thombo
omnye,nye
wenkcazelo,nkcazelo
malunga,malunga
neenkonzo,nkonzo
ezinikwa,nika
ngurhulumente,rhulumente
waseMzantsi,Mzantsi
Afrika,Afrika
.,
,
Le,le
website,website
ijolise,jolisa
ekubeni,ekubeni
inciphise,nciphisa
umsantsa,santsa
wokwahluka,ahluka
okukhoyo,khoyo
phakathi,phakathi
kwabantu,ntu
abanikwe,nika
amandla,ndla
kunye,nye
nabo,bo
bangenamandla,ndla
",",
phakathi,phakathi
koqoqosho,qoqosho
lokuqala,qala
kunye,nye
nolwesibini,bini
.,
,
Le,le
website,website
ilungenelelo,ngenelelo
olubaluleke,baluleka
kakhulu,khulu
olujonge,jonga
ekuqinisekiseni,qina
ukuba,ukuba
abemi,mi
banako,nako
ukunxulumana,nxulumana
norhulumente,rhulumente
.,
,
I-website,i-website
ijolise,jolisa
kubasebenzisi,sebenzisi
abangabemi,ma
baseMzantsi,Mzantsi
Afrika,Afrika
kuzo,zo
zonke,nke
iindawo,ndawo
zelizwe,zwe
",",
amashishini,shishini
okanye,okanye
iimibutho,butho
yaseMzantsi,Mzantsi
Afrika,Afrika
",",
ekhoyo,khoyo
okanye,okanye
enokubakhona,khona
",",
kunye,nye
nabemi,mi
nemibutho,butho
ekwamanye,nye
amazwe,zwe
",",
edinga,dinga
iinkonzo,nkonzo
kurhulumente,rhulumente
waseMzantsi,Mzantsi
Afrika,Afrika
.,
,
Icandelo,candelo
elingundoqo,ndoqo
labasebenzisi,sebenzisi
libandakanya,bandakanya
izilamlisi,lamli
",",
ezifana,fana
naMaziko,ziko
waBahlali,hlali
weeNkonzo,nkonzo
ngeeNkonzo,nkonzo
",",
abizwa,biza
ngokuba,kuba
zii-Multi-purpose,zii-Multi-purpose
Community,community
Centres,Centres
(,
MPCCs,MPCCs
),
",",
aBasebenzi,sebenza
boPhuhliso,phuhliso
loLuntu,ntu
",",
ekuthiwa,thi
zii-Community,zii-Community
Development,Development
